indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,EMPL_UNE,PC_IND,ME	35 	: 	: 	: 	: 	80 	83 	82 
I_IUMD,EMPL_UNE,PC_IND,MK	18 	28 	43 	58 	61 	73 	68 	82 
I_IUMD,EMPL_UNE,PC_IND,MT	53 	54 	64 	76 	78 	85 	84 	87 
I_IUMD,EMPL_UNE,PC_IND,NL	64 	75 	80 	85 	87 	93 	93 	94 
I_IUMD,EMPL_UNE,PC_IND,NO	80 	82 	85 	89 	87 	91 	93 	96 
I_IUMD,EMPL_UNE,PC_IND,PL	26 	37 	42 	51 	34 	44 	56 	68 
I_IUMD,EMPL_UNE,PC_IND,PT	23 	25 	42 	52 	58 	66 	69 	73 
I_IUMD,EMPL_UNE,PC_IND,RO	9 	17 	29 b	44 	53 	62 	68 	80 
I_IUMD,EMPL_UNE,PC_IND,RS	: 	: 	: 	42 	: 	62 	71 	75 
I_IUMD,EMPL_UNE,PC_IND,SE	75 	79 	82 	85 	86 b	94 	92 	97 
I_IUMD,EMPL_UNE,PC_IND,SI	35 	47 	51 	64 	64 	75 	80 	86 
I_IUMD,EMPL_UNE,PC_IND,SK	42 	46 	57 	65 	65 	73 	71 	81 
I_IUMD,EMPL_UNE,PC_IND,TR	18 	29 	43 	55 	68 	76 	77 	85 
I_IUMD,EMPL_UNE,PC_IND,UK	70 	73 	80 	87 	89 	91 	91 	95 
I_IUMD,EMPL_UNE,PC_IND,XK	: 	: 	: 	: 	: 	79 	78 	80 
I_IUMD,F_Y16_74,PC_IND,AL	: 	: 	: 	: 	: 	: 	50 	: 
I_IUMD,F_Y16_74,PC_IND,AT	39 	44 	51 	59 	60 	71 	72 	79 
I_IUMD,F_Y16_74,PC_IND,BA	: 	: 	: 	: 	: 	: 	56 	54 
I_IUMD,F_Y16_74,PC_IND,BE	40 	42 	56 	67 	68 	74 	75 	84 
I_IUMD,F_Y16_74,PC_IND,BG	11 	18 	25 	37 	43 	54 	55 	63 
I_IUMD,F_Y16_74,PC_IND,CH	: 	: 	55 	: 	: 	66 b	: 	88 
I_IUMD,F_Y16_74,PC_IND,CY	21 	26 	41 	57 	62 	70 	73 	79 
I_IUMD,F_Y16_74,PC_IND,CZ	: u	23 	31 	40 	: u	56 	65 	71 
I_IUMD,F_Y16_74,PC_IND,DE	25 	39 	51 	60 	65 	73 	79 	75 
I_IUMD,F_Y16_74,PC_IND,DK	58 	63 	74 	77 	82 	83 	88 	92 
I_IUMD,F_Y16_74,PC_IND,EA	29 	38 	48 	53 	57 	64 	68 	73 
I_IUMD,F_Y16_74,PC_IND,EE	33 	42 	55 b	57 	60 	66 	68 	77 
I_IUMD,F_Y16_74,PC_IND,EL	18 	24 	34 	41 	45 	50 	52 	60 
I_IUMD,F_Y16_74,PC_IND,ES	34 	47 	60 	66 	70 	77 	80 	87 
I_IUMD,F_Y16_74,PC_IND,EU27_2007	31 	39 	48 	55 	57 	63 	68 	: 
I_IUMD,F_Y16_74,PC_IND,EU27_2020	27 	35 	45 	51 	54 	61 	66 	72 
I_IUMD,F_Y16_74,PC_IND,EU28	31 	39 	48 	55 	57 	63 	68 	74 
I_IUMD,F_Y16_74,PC_IND,FI	51 	56 	64 	72 	74 	78 	78 	: 
I_IUMD,F_Y16_74,PC_IND,FR	39 	47 	56 	59 	60 b	67 	72 	80 
I_IUMD,F_Y16_74,PC_IND,HR	29 	33 	39 	45 	48 	44 	60 	70 
I_IUMD,F_Y16_74,PC_IND,HU	14 	26 	40 	49 	55 	61 	: u	71 
I_IUMD,F_Y16_74,PC_IND,IE	49 	58 	65 	70 	69 	76 	73 	86 
I_IUMD,F_Y16_74,PC_IND,IS	56 	60 	69 	: 	: 	84 	85 	87 
I_IUMD,F_Y16_74,PC_IND,IT	12 	16 	21 	23 	27 	30 	38 	47 
I_IUMD,F_Y16_74,PC_IND,LT	14 	21 	29 	37 	42 	54 	61 	71 
I_IUMD,F_Y16_74,PC_IND,LU	56 	63 	68 	75 	76 	80 	81 b	84 
I_IUMD,F_Y16_74,PC_IND,LV	22 	28 	32 	41 	46 b	55 	58 	66 
I_IUMD,F_Y16_74,PC_IND,ME	28 	: 	: 	: 	: 	65 	69 	69 
I_IUMD,F_Y16_74,PC_IND,MK	16 	23 	36 	50 	53 	62 	57 	72 
I_IUMD,F_Y16_74,PC_IND,MT	37 	42 	51 	63 	62 	71 	71 	76 
I_IUMD,F_Y16_74,PC_IND,NL	50 	60 	68 	75 	77 	86 	85 	88 
I_IUMD,F_Y16_74,PC_IND,NO	71 	76 	76 	82 	79 	86 	88 	94 
I_IUMD,F_Y16_74,PC_IND,PL	19 	27 	34 	42 	31 	38 	47 	57 
I_IUMD,F_Y16_74,PC_IND,PT	17 	20 	32 	41 	49 	56 	58 	60 
I_IUMD,F_Y16_74,PC_IND,RO	6 	14 	22 b	34 	41 	50 	56 	68 
I_IUMD,F_Y16_74,PC_IND,RS	: 	: 	: 	29 	: 	49 	54 	58 
I_IUMD,F_Y16_74,PC_IND,SE	66 	68 	76 	76 	78 b	85 	90 	93 
I_IUMD,F_Y16_74,PC_IND,SI	26 	36 	42 	48 	52 	62 	66 	76 
I_IUMD,F_Y16_74,PC_IND,SK	33 	37 	46 	51 	57 	62 	59 	69 
I_IUMD,F_Y16_74,PC_IND,TR	10 	16 	25 	32 	44 	54 	58 	65 
I_IUMD,F_Y16_74,PC_IND,UK	60 	64 	72 	78 	83 	84 	83 	87 
I_IUMD,F_Y16_74,PC_IND,XK	: 	: 	: 	: 	: 	73 	76 	77 
I_IUMD,I0_2,PC_IND,AL	: 	: 	: 	: 	: 	: 	32 	: 
I_IUMD,I0_2,PC_IND,AT	34 	34 	33 	40 	47 	52 	58 	67 
I_IUMD,I0_2,PC_IND,BA	: 	: 	: 	: 	: 	: 	36 	32 
I_IUMD,I0_2,PC_IND,BE	30 	34 	40 	50 	55 	58 	57 	72 
I_IUMD,I0_2,PC_IND,BG	3 	5 	11 	15 	21 	29 	33 	35 
I_IUMD,I0_2,PC_IND,CH	: 	: 	48 	: 	: 	52 b	: 	76 
I_IUMD,I0_2,PC_IND,CY	10 	15 	22 	31 	36 	42 	44 	47 
I_IUMD,I0_2,PC_IND,CZ	: u	27 	33 	43 	: u	50 	60 	63 
I_IUMD,I0_2,PC_IND,DE	27 	42 	54 	60 	63 	69 	76 	71 
I_IUMD,I0_2,PC_IND,DK	61 	64 	72 	: u	78 	77 b	82 	86 
I_IUMD,I0_2,PC_IND,EA	21 	27 	34 	39 	42 	47 	53 	59 
I_IUMD,I0_2,PC_IND,EE	30 	39 	51 b	57 	56 	69 	72 	79 
I_IUMD,I0_2,PC_IND,EL	7 	10 	14 	17 	20 	24 	25 	32 
I_IUMD,I0_2,PC_IND,ES	21 	30 	40 	45 	53 	59 	64 	75 
I_IUMD,I0_2,PC_IND,EU27_2007	21 	27 	34 	38 	42 	47 	52 	: 
I_IUMD,I0_2,PC_IND,EU27_2020	20 	26 	33 	37 	41 	46 	52 	58 
I_IUMD,I0_2,PC_IND,EU28	21 	27 	33 	38 	42 	47 	52 	58 
I_IUMD,I0_2,PC_IND,FI	45 	55 	58 	66 	64 	66 	65 	: 
I_IUMD,I0_2,PC_IND,FR	30 	34 	39 	42 	41 b	49 	58 	67 
I_IUMD,I0_2,PC_IND,HR	18 	18 	28 	20 	17 	13 	30 	41 
I_IUMD,I0_2,PC_IND,HU	10 	18 	26 	30 	36 	41 	: u	47 
I_IUMD,I0_2,PC_IND,IE	28 	32 	40 	42 	40 	47 	40 	63 
I_IUMD,I0_2,PC_IND,IS	53 	52 	60 	: 	: 	76 	75 	80 
I_IUMD,I0_2,PC_IND,IT	7 	10 	14 	16 	20 	21 	28 	36 
I_IUMD,I0_2,PC_IND,LT	16 	24 	36 	37 	45 	52 	56 	62 
I_IUMD,I0_2,PC_IND,LU	42 	44 	54 	72 	70 	75 	72 b	76 
I_IUMD,I0_2,PC_IND,LV	23 	31 	34 	37 	43 b	50 	58 b	55 
I_IUMD,I0_2,PC_IND,ME	11 	: 	: 	: 	: 	25 u	41 	44 
I_IUMD,I0_2,PC_IND,MK	8 	13 	25 	28 	38 	45 	44 	57 
I_IUMD,I0_2,PC_IND,MT	22 	24 	30 	38 	43 	56 	54 	59 
I_IUMD,I0_2,PC_IND,NL	41 	47 	54 	61 	62 	73 	73 	78 
I_IUMD,I0_2,PC_IND,NO	72 	73 	75 	78 	80 	80 	85 	94 
I_IUMD,I0_2,PC_IND,PL	15 	20 	28 	36 	35 	42 	45 	51 
I_IUMD,I0_2,PC_IND,PT	11 	13 	20 	27 	31 	37 	38 	40 
I_IUMD,I0_2,PC_IND,RO	3 	7 	12 b	20 	23 	29 	37 	48 
I_IUMD,I0_2,PC_IND,RS	: 	: 	: 	11 	: 	27 	33 	37 
I_IUMD,I0_2,PC_IND,SE	62 	57 	66 	61 	63 b	76 	79 	87 
I_IUMD,I0_2,PC_IND,SI	16 	21 	19 	32 	37 	44 	46 	58 
I_IUMD,I0_2,PC_IND,SK	35 	35 	50 	51 	43 	51 	51 	52 
I_IUMD,I0_2,PC_IND,TR	6 	11 	18 	24 	36 	46 	50 	58 
I_IUMD,I0_2,PC_IND,UK	29 	33 	41 	45 	54 	56 	49 	40 b
I_IUMD,I0_2,PC_IND,XK	: 	: 	: 	: 	: 	63 	60 	67 
I_IUMD,I3_4,PC_IND,AL	: 	: 	: 	: 	: 	: 	63 	: 
I_IUMD,I3_4,PC_IND,AT	45 	51 	54 	62 	61 	71 	71 	78 
I_IUMD,I3_4,PC_IND,BA	: 	: 	: 	: 	: 	: 	66 	62 
I_IUMD,I3_4,PC_IND,BE	46 	48 	61 	74 	73 	79 	80 	88 
I_IUMD,I3_4,PC_IND,BG	10 	17 	25 	36 	45 	56 	57 	67 
I_IUMD,I3_4,PC_IND,CH	: 	: 	55 	: 	: 	68 b	: 	89 
I_IUMD,I3_4,PC_IND,CY	20 	26 	40 	60 	63 	71 	76 	82 
I_IUMD,I3_4,PC_IND,CZ	: u	24 	32 	38 	: bu	55 	61 	69 
I_IUMD,I3_4,PC_IND,DE	29 	41 	53 	61 	66 	74 	79 	75 
I_IUMD,I3_4,PC_IND,DK	56 	62 	72 	: u	80 	83 b	88 	93 
I_IUMD,I3_4,PC_IND,EA	35 	43 	53 	58 	61 	68 	72 	76 
I_IUMD,I3_4,PC_IND,EE	32 	42 	49 b	56 	58 	63 	66 	73 
I_IUMD,I3_4,PC_IND,EL	25 	29 	41 	53 	52 	60 	64 	71 
I_IUMD,I3_4,PC_IND,ES	49 	61 	76 	79 	82 	88 	89 	93 
I_IUMD,I3_4,PC_IND,EU27_2007	35 	42 	50 	57 	59 	65 	69 	: 
I_IUMD,I3_4,PC_IND,EU27_2020	30 	38 	47 	53 	55 	62 	67 	73 
I_IUMD,I3_4,PC_IND,EU28	35 	42 	50 	57 	59 	65 	69 	75 
I_IUMD,I3_4,PC_IND,FI	55 	57 	66 	71 	75 	80 	79 	: 
I_IUMD,I3_4,PC_IND,FR	42 	51 	60 	62 	60 b	70 	74 	82 
I_IUMD,I3_4,PC_IND,HR	43 	43 	41 	56 	55 	55 	71 	79 
I_IUMD,I3_4,PC_IND,HU	16 	27 	42 	52 	58 	63 	: u	74 
I_IUMD,I3_4,PC_IND,IE	53 	62 	69 	74 	72 	79 	81 	86 
I_IUMD,I3_4,PC_IND,IS	58 	59 	65 	: 	: 	85 	82 	84 
I_IUMD,I3_4,PC_IND,IT	21 	25 	29 	31 	34 	38 	45 	57 
I_IUMD,I3_4,PC_IND,LT	13 	18 	22 	26 	30 	40 	49 	57 
I_IUMD,I3_4,PC_IND,LU	66 	69 	70 	84 	78 	80 	87 b	89 
I_IUMD,I3_4,PC_IND,LV	20 	27 	27 	38 	40 b	49 	50 b	60 
I_IUMD,I3_4,PC_IND,ME	31 	: 	: 	: 	: 	64 	71 	70 
I_IUMD,I3_4,PC_IND,MK	18 	30 	44 	59 	62 	69 	62 	76 
I_IUMD,I3_4,PC_IND,MT	64 	62 	71 	81 	84 	84 	80 	90 
I_IUMD,I3_4,PC_IND,NL	58 	68 	71 	80 	82 	89 	89 	92 
I_IUMD,I3_4,PC_IND,NO	69 	73 	74 	78 	73 	83 	85 	90 
I_IUMD,I3_4,PC_IND,PL	16 	24 	28 	36 	24 	31 	41 	52 
I_IUMD,I3_4,PC_IND,PT	40 	39 	59 	66 	77 	82 	83 	84 
I_IUMD,I3_4,PC_IND,RO	6 	14 	24 b	37 	45 	54 	58 	72 
I_IUMD,I3_4,PC_IND,RS	: 	: 	: 	46 	: 	61 	66 	70 
I_IUMD,I3_4,PC_IND,SE	69 	72 	75 	77 	82 b	88 	90 	94 
I_IUMD,I3_4,PC_IND,SI	30 	38 	41 	50 	52 	62 	66 	75 
I_IUMD,I3_4,PC_IND,SK	32 	36 	44 	47 	55 	60 	58 	67 
I_IUMD,I3_4,PC_IND,TR	25 	39 	55 	64 	79 	87 	86 	93 
I_IUMD,I3_4,PC_IND,UK	64 	68 	74 	83 	83 	85 	83 	89 b
I_IUMD,I3_4,PC_IND,XK	: 	: 	: 	: 	: 	80 	83 	84 
I_IUMD,I5_8,PC_IND,AL	: 	: 	: 	: 	: 	: 	90 	: 
I_IUMD,I5_8,PC_IND,AT	57 	65 	75 	78 	80 	88 	86 	94 
I_IUMD,I5_8,PC_IND,BA	: 	: 	: 	: 	: 	: 	93 	84 
I_IUMD,I5_8,PC_IND,BE	57 	60 	74 	81 	84 	87 	89 	95 
I_IUMD,I5_8,PC_IND,BG	32 	41 	51 	66 	71 	83 	82 	88 
I_IUMD,I5_8,PC_IND,CH	: 	: 	73 	: 	: 	80 b	: 	95 
I_IUMD,I5_8,PC_IND,CY	42 	47 	65 	80 	81 	89 	92 	94 
I_IUMD,I5_8,PC_IND,CZ	: u	50 	60 	69 	: bu	81 	87 	91 
I_IUMD,I5_8,PC_IND,DE	41 	53 	65 	71 	77 	85 	86 	87 
I_IUMD,I5_8,PC_IND,DK	73 	75 	85 	: u	92 	92 b	95 	96 
I_IUMD,I5_8,PC_IND,EA	52 	61 	71 	74 	77 	83 	85 	89 
I_IUMD,I5_8,PC_IND,EE	48 	57 	73 b	69 	69 	73 	76 	84 
I_IUMD,I5_8,PC_IND,EL	37 	45 	59 	64 	71 	76 	78 	84 
I_IUMD,I5_8,PC_IND,ES	58 	73 	84 	87 	91 	94 	95 	96 
I_IUMD,I5_8,PC_IND,EU27_2007	55 	63 	72 	76 	78 	83 	86 	: 
I_IUMD,I5_8,PC_IND,EU27_2020	51 	60 	69 	74 	75 	81 	84 	88 
I_IUMD,I5_8,PC_IND,EU28	55 	63 	72 	76 	78 	83 	86 	90 
I_IUMD,I5_8,PC_IND,FI	67 	70 	80 	83 	86 	88 	88 	: 
I_IUMD,I5_8,PC_IND,FR	64 	72 	78 	80 	79 b	85 	88 	92 
I_IUMD,I5_8,PC_IND,HR	60 	60 	61 	69 	79 	62 	80 	91 
I_IUMD,I5_8,PC_IND,HU	32 	46 	63 	74 	77 	82 	: u	89 
I_IUMD,I5_8,PC_IND,IE	70 	78 	85 	88 	85 	89 	90 	96 
I_IUMD,I5_8,PC_IND,IS	70 	75 	79 	: 	: 	92 	90 	97 
I_IUMD,I5_8,PC_IND,IT	33 	31 	40 	41 	44 	46 	56 	66 
I_IUMD,I5_8,PC_IND,LT	27 	39 	47 	56 	67 	77 	81 	88 
I_IUMD,I5_8,PC_IND,LU	72 	72 	79 	84 	82 	87 	93 b	94 
I_IUMD,I5_8,PC_IND,LV	37 	45 	51 	58 	66 b	75 	76 b	83 
I_IUMD,I5_8,PC_IND,ME	57 	: 	: 	: 	: 	89 	85 	90 
I_IUMD,I5_8,PC_IND,MK	46 	53 	65 	78 	81 	86 	83 	91 
I_IUMD,I5_8,PC_IND,MT	74 	79 	83 	91 	87 	95 	93 	93 
I_IUMD,I5_8,PC_IND,NL	66 	77 	84 	87 	90 	95 	94 	95 
I_IUMD,I5_8,PC_IND,NO	85 	89 	86 	89 	88 	92 	93 	96 
I_IUMD,I5_8,PC_IND,PL	46 	57 	62 	72 	51 	61 	71 	80 
I_IUMD,I5_8,PC_IND,PT	44 	48 	66 	78 	81 	89 	87 	92 
I_IUMD,I5_8,PC_IND,RO	26 	43 	58 b	75 	79 	85 	88 	93 
I_IUMD,I5_8,PC_IND,RS	: 	: 	: 	55 	: 	73 	75 	82 
I_IUMD,I5_8,PC_IND,SE	79 	78 	86 	87 	87 b	92 	93 	97 
I_IUMD,I5_8,PC_IND,SI	51 	65 	72 	74 	77 	84 	86 	94 
I_IUMD,I5_8,PC_IND,SK	56 	60 	69 	79 	77 	84 	81 	89 
I_IUMD,I5_8,PC_IND,TR	41 	57 	71 	81 	91 	95 	93 	97 
I_IUMD,I5_8,PC_IND,UK	77 	78 	84 	87 	90 	91 	94 	96 b
I_IUMD,I5_8,PC_IND,XK	: 	: 	: 	: 	: 	92 	89 	92 
I_IUMD,IND_TOTAL,PC_IND,AL	: 	: 	: 	: 	: 	: 	54 	: 
I_IUMD,IND_TOTAL,PC_IND,AT	45 	51 	57 	64 	65 	74 	74 	82 
I_IUMD,IND_TOTAL,PC_IND,BA	: 	: 	: 	: 	: 	: 	60 	57 
I_IUMD,IND_TOTAL,PC_IND,BE	44 	47 	59 	69 	71 	75 	76 	86 
I_IUMD,IND_TOTAL,PC_IND,BG	13 	20 	27 	38 	45 	56 	57 	64 
I_IUMD,IND_TOTAL,PC_IND,CH	: 	: 	60 	: 	: 	69 b	: 	89 
I_IUMD,IND_TOTAL,PC_IND,CY	25 	29 	43 	59 	62 	70 	75 	79 
I_IUMD,IND_TOTAL,PC_IND,CZ	: u	29 	37 	45 	: u	60 	66 	73 
I_IUMD,IND_TOTAL,PC_IND,DE	31 	44 	56 	63 	68 	75 	80 	77 
I_IUMD,IND_TOTAL,PC_IND,DK	61 	66 	75 	78 	82 	83 	88 	92 
I_IUMD,IND_TOTAL,PC_IND,EA	34 	42 	51 	56 	59 	65 	69 	74 
I_IUMD,IND_TOTAL,PC_IND,EE	37 	46 	58 b	61 	62 	68 	71 	78 
I_IUMD,IND_TOTAL,PC_IND,EL	23 	27 	37 	44 	47 	53 	55 	63 
I_IUMD,IND_TOTAL,PC_IND,ES	38 	50 	62 	67 	72 	78 	80 	87 
I_IUMD,IND_TOTAL,PC_IND,EU27_2007	36 	43 	51 	57 	59 	66 	69 	: 
I_IUMD,IND_TOTAL,PC_IND,EU27_2020	32 	39 	48 	54 	56 	63 	67 	73 
I_IUMD,IND_TOTAL,PC_IND,EU28	36 	43 	51 	57 	59 	65 	69 	75 
I_IUMD,IND_TOTAL,PC_IND,FI	56 	61 	69 	73 	76 	79 	78 	: 
I_IUMD,IND_TOTAL,PC_IND,FR	43 	51 	58 	61 	61 b	68 	74 	81 
I_IUMD,IND_TOTAL,PC_IND,HR	38 	40 	41 	50 	52 	51 	63 	72 
I_IUMD,IND_TOTAL,PC_IND,HU	18 	29 	43 	52 	58 	62 	: u	72 
I_IUMD,IND_TOTAL,PC_IND,IE	51 	59 	65 	69 	69 	75 	73 	84 
I_IUMD,IND_TOTAL,PC_IND,IS	60 	61 	68 	: 	: 	84 	83 	88 
I_IUMD,IND_TOTAL,PC_IND,IT	16 	19 	24 	26 	29 	32 	40 	50 
I_IUMD,IND_TOTAL,PC_IND,LT	17 	25 	32 	38 	45 	55 	62 	70 
I_IUMD,IND_TOTAL,PC_IND,LU	63 	66 	70 	80 	78 	82 	84 b	86 
I_IUMD,IND_TOTAL,PC_IND,LV	25 	32 	35 	44 	48 b	57 	59 	67 
I_IUMD,IND_TOTAL,PC_IND,ME	34 	: 	: 	: 	: 	70 	70 	71 
I_IUMD,IND_TOTAL,PC_IND,MK	17 	27 	40 	52 	57 	65 	61 	74 
I_IUMD,IND_TOTAL,PC_IND,MT	40 	43 	52 	64 	64 	72 	71 	76 
I_IUMD,IND_TOTAL,PC_IND,NL	55 	65 	70 	76 	78 	87 	86 	89 
I_IUMD,IND_TOTAL,PC_IND,NO	75 	79 	79 	83 	80 	87 	89 	93 
I_IUMD,IND_TOTAL,PC_IND,PL	22 	30 	36 	44 	32 	40 	49 	59 
I_IUMD,IND_TOTAL,PC_IND,PT	21 	24 	37 	45 	51 	58 	60 	63 
I_IUMD,IND_TOTAL,PC_IND,RO	7 	15 	25 b	38 	44 	53 	58 	70 
I_IUMD,IND_TOTAL,PC_IND,RS	: 	: 	: 	35 	: 	53 	57 	62 
I_IUMD,IND_TOTAL,PC_IND,SE	70 	71 	76 	77 	80 b	87 	88 	93 
I_IUMD,IND_TOTAL,PC_IND,SI	30 	39 	42 	51 	54 	63 	67 	76 
I_IUMD,IND_TOTAL,PC_IND,SK	38 	42 	50 	54 	58 	64 	62 	71 
I_IUMD,IND_TOTAL,PC_IND,TR	14 	21 	32 	40 	53 	62 	64 	72 
I_IUMD,IND_TOTAL,PC_IND,UK	63 	66 	73 	79 	81 	84 	83 	88 
I_IUMD,IND_TOTAL,PC_IND,XK	: 	: 	: 	: 	: 	75 	76 	79 
I_IUMD,M_Y16_74,PC_IND,AL	: 	: 	: 	: 	: 	: 	59 	: 
I_IUMD,M_Y16_74,PC_IND,AT	51 	57 	63 	69 	69 	77 	76 	84 
I_IUMD,M_Y16_74,PC_IND,BA	: 	: 	: 	: 	: 	: 	66 	60 
I_IUMD,M_Y16_74,PC_IND,BE	48 	53 	62 	70 	73 	76 	78 	87 
I_IUMD,M_Y16_74,PC_IND,BG	14 	22 	30 	40 	46 	58 	59 	66 
I_IUMD,M_Y16_74,PC_IND,CH	: 	: 	65 	: 	: 	72 b	: 	90 
I_IUMD,M_Y16_74,PC_IND,CY	28 	32 	46 	61 	63 	70 	76 	80 
I_IUMD,M_Y16_74,PC_IND,CZ	: u	34 	43 	49 	: u	63 	68 	74 
I_IUMD,M_Y16_74,PC_IND,DE	37 	49 	60 	66 	70 	77 	81 	79 
I_IUMD,M_Y16_74,PC_IND,DK	65 	68 	76 	79 	82 	84 	88 	92 
I_IUMD,M_Y16_74,PC_IND,EA	39 	46 	54 	58 	61 	67 	71 	76 
I_IUMD,M_Y16_74,PC_IND,EE	41 	51 	61 b	66 	64 	70 	73 	79 
I_IUMD,M_Y16_74,PC_IND,EL	27 	29 	40 	48 	50 	56 	58 	66 
I_IUMD,M_Y16_74,PC_IND,ES	43 	53 	64 	68 	74 	79 	81 	86 
I_IUMD,M_Y16_74,PC_IND,EU27_2007	40 	46 	55 	60 	62 	68 	71 	: 
I_IUMD,M_Y16_74,PC_IND,EU27_2020	36 	43 	51 	57 	58 	65 	69 	74 
I_IUMD,M_Y16_74,PC_IND,EU28	40 	46 	54 	60 	61 	67 	71 	76 
I_IUMD,M_Y16_74,PC_IND,FI	62 	66 	74 	74 	77 	80 	79 	: 
I_IUMD,M_Y16_74,PC_IND,FR	48 	56 	61 	64 	61 b	70 	75 	82 
I_IUMD,M_Y16_74,PC_IND,HR	47 	48 	42 	55 	55 	59 	65 	74 
I_IUMD,M_Y16_74,PC_IND,HU	21 	32 	48 	56 	61 	64 	: u	73 
I_IUMD,M_Y16_74,PC_IND,IE	53 	60 	65 	69 	68 	73 	73 	83 
I_IUMD,M_Y16_74,PC_IND,IS	63 	62 	67 	: 	: 	85 	82 	88 
I_IUMD,M_Y16_74,PC_IND,IT	20 	21 	26 	29 	31 	34 	42 	52 
I_IUMD,M_Y16_74,PC_IND,LT	21 	29 	36 	39 	48 	56 	63 	69 
I_IUMD,M_Y16_74,PC_IND,LU	69 	70 	73 	84 	80 	84 	87 b	88 
I_IUMD,M_Y16_74,PC_IND,LV	30 	37 	39 	46 	51 b	59 	60 	69 
I_IUMD,M_Y16_74,PC_IND,ME	38 	: 	: 	: 	: 	73 	70 	74 
I_IUMD,M_Y16_74,PC_IND,MK	18 	30 	45 	55 	61 	68 	64 	75 
I_IUMD,M_Y16_74,PC_IND,MT	44 	45 	52 	64 	65 	72 	70 	76 
I_IUMD,M_Y16_74,PC_IND,NL	60 	70 	72 	76 	79 	88 	87 	90 
I_IUMD,M_Y16_74,PC_IND,NO	80 	81 	82 	84 	81 	87 	90 	93 
I_IUMD,M_Y16_74,PC_IND,PL	25 	34 	38 	46 	34 	42 	50 	60 
I_IUMD,M_Y16_74,PC_IND,PT	25 	28 	42 	51 	53 	60 	63 	67 
I_IUMD,M_Y16_74,PC_IND,RO	9 	17 	28 b	41 	48 	55 	59 	72 
I_IUMD,M_Y16_74,PC_IND,RS	: 	: 	: 	41 	: 	57 	61 	67 
I_IUMD,M_Y16_74,PC_IND,SE	74 	73 	77 	77 	81 b	88 	86 	94 
I_IUMD,M_Y16_74,PC_IND,SI	34 	42 	43 	54 	57 	65 	69 	77 
I_IUMD,M_Y16_74,PC_IND,SK	43 	46 	55 	58 	60 	67 	64 	72 
I_IUMD,M_Y16_74,PC_IND,TR	17 	26 	39 	48 	61 	70 	71 	79 
